#RPLIDAR SCAN DATA
#COUNT=270
#Angule	Distance	Quality
351.7603 2641.8 60
352.9193 2481.5 60
354.0894 2377.0 60
355.1715 2430.5 60
357.4512 808.8 60
358.6707 808.8 60
359.7803 817.0 60
0.7800 826.5 60
1.9336 840.3 60
2.9828 854.3 60
4.1364 865.5 60
5.2460 875.5 60
6.3885 893.5 60
7.4652 909.8 60
9.0582 682.5 60
10.2777 652.0 60
11.4203 634.3 60
12.5574 617.8 60
13.9362 607.0 60
14.9634 591.0 60
16.1389 581.3 60
18.4021 385.3 60
19.8413 352.8 60
21.3080 346.0 60
22.3572 342.3 60
24.1534 329.3 60
25.2631 316.8 60
26.6528 309.3 60
27.2955 307.3 60
28.6688 305.5 60
30.0146 299.0 60
31.3879 297.3 60
31.9043 298.8 60
33.6676 296.8 60
34.7772 292.5 60
35.4199 290.5 60
36.5900 285.8 60
38.5291 283.0 60
39.2157 281.8 60
40.5890 281.0 60
42.1216 280.0 60
43.0884 281.3 60
44.4012 282.3 60
45.0439 283.5 60
45.9668 283.5 60
47.4829 275.8 60
48.2300 282.0 60
49.1089 284.0 60
50.4657 284.3 60
52.2784 283.0 60
53.0914 275.3 60
56.3434 283.8 60
57.1674 286.8 60
58.6560 287.0 60
59.3427 288.3 60
60.3589 290.5 60
61.6058 292.8 60
62.4353 298.0 60
63.6383 298.8 60
64.9017 300.8 60
66.0608 306.5 60
68.5272 379.8 60
69.4061 375.5 60
70.6860 371.3 60
71.9989 367.5 60
73.0591 364.5 60
73.9655 360.0 60
75.1685 357.5 60
76.3110 355.5 60
77.6514 353.0 60
79.0302 349.5 60
80.2936 347.8 60
81.1835 345.8 60
82.4799 344.5 60
83.6719 343.0 60
84.7321 340.8 60
85.4956 339.0 60
87.2644 337.5 60
87.9016 337.0 60
89.1541 336.3 60
90.5438 335.8 60
91.2305 335.3 60
92.9333 335.5 60
94.1089 333.3 60
94.7955 332.5 60
95.9216 331.8 60
97.3553 330.8 60
98.2013 330.3 60
99.2615 328.3 60
100.7446 327.5 60
101.7004 329.0 60
102.7606 331.3 60
104.1833 335.3 60
105.1666 336.0 60
106.4191 338.5 60
109.1217 358.8 60
110.4840 356.5 52
111.4673 362.0 60
112.5934 361.5 60
113.5931 364.8 52
114.5764 366.3 56
116.0266 368.8 60
117.1362 370.5 56
118.0920 376.8 60
118.9490 381.3 60
120.1245 384.0 52
121.4044 387.3 60
122.2449 387.3 60
123.4479 397.8 60
124.4806 400.0 60
125.7166 404.5 60
126.4362 413.0 60
127.8864 418.5 60
128.6389 421.3 60
148.1671 160.5 60
173.2324 851.8 60
174.3420 865.0 60
175.4681 874.8 60
176.5283 891.8 60
177.6544 899.3 60
178.6981 912.3 60
179.8737 928.0 60
180.9503 947.8 60
181.9501 962.8 60
183.1201 984.0 60
184.2297 995.8 60
185.2625 1019.8 60
186.3721 1041.3 60
187.5146 1059.0 60
188.5583 1085.8 60
189.7174 1110.0 60
190.7172 1137.3 60
191.7334 1276.0 60
192.8101 1302.8 60
193.9801 1339.0 60
195.0897 1377.0 60
196.1554 1407.3 60
197.2650 1448.0 60
