#RPLIDAR SCAN DATA
#COUNT=149
#Angule	Distance	Quality
351.4966 2054.5 60
353.4961 3747.3 56
354.6716 3757.3 60
355.8252 3794.8 52
356.9952 3802.5 56
358.1543 3822.5 60
359.3408 3622.0 60
0.5273 3444.0 60
1.7029 3295.5 60
2.8729 3142.3 60
4.0759 3001.5 60
5.2460 2882.3 60
6.4655 2780.3 60
7.6355 2685.5 60
8.8385 2613.0 56
113.1702 133.5 40
177.9346 179.8 60
178.8574 181.3 52
180.0110 184.0 48
188.1354 217.8 48
194.7766 910.8 60
195.8258 988.0 60
196.9189 1034.0 60
197.9956 1053.0 60
199.1052 1073.0 60
200.3412 1097.5 60
201.4178 1119.0 60
202.6208 1138.3 60
203.7469 1161.8 60
204.9335 1185.8 60
207.1692 1248.0 60
208.3392 1278.0 60
209.4214 1305.3 60
210.5914 1342.3 60
211.7450 1379.0 60
212.9041 1408.8 48
220.1056 1167.3 60
221.2317 1212.3 60
222.2644 1269.5 60
223.4015 1421.3 60
224.5111 1452.3 60
225.6042 1502.3 60
226.7963 1527.5 60
227.8729 1565.3 60
229.0759 1574.0 60
230.2460 1558.5 60
231.4215 1554.0 60
232.6355 1488.3 60
233.7616 1530.5 60
234.8877 1526.3 60
236.1237 1517.0 60
237.2168 1514.3 60
238.4198 1510.5 60
239.5624 1507.0 60
240.7324 1499.8 60
241.9519 1495.5 60
243.0780 1494.3 60
244.2151 1492.5 60
245.4181 1488.5 60
246.6046 1488.0 60
247.7307 1486.3 60
248.9337 1488.5 60
250.0598 1489.5 60
251.3232 1491.0 60
252.4658 1492.8 60
253.6359 1496.0 60
254.7455 1501.5 60
255.9814 1507.0 60
257.0746 1512.0 60
258.2776 1517.8 60
259.4641 1523.5 60
260.6067 1526.8 60
261.7328 1537.8 60
262.9028 1549.0 60
264.0894 1555.5 60
265.2155 1568.3 60
266.4020 1574.0 60
267.5775 1587.3 60
268.7311 1603.0 60
269.8572 1614.3 60
271.0437 1633.8 60
272.2028 1643.0 60
273.3563 1659.3 60
274.5428 1679.8 60
275.5920 1699.3 60
276.7456 1715.0 60
277.8882 1736.3 60
278.9978 1766.3 60
280.2008 1782.0 60
281.3104 1803.3 60
282.4805 1834.0 60
283.6066 1853.8 60
284.8096 1890.0 60
285.9027 1920.3 60
287.0728 1955.0 60
288.2318 1987.8 60
289.3854 2022.3 60
290.5115 2066.0 60
291.6705 2099.3 60
292.8406 2148.0 60
293.9502 2195.5 60
295.1367 2240.5 60
296.2463 2282.8 60
297.4054 2340.0 60
298.5590 2395.0 60
299.7290 2455.5 60
300.8881 2506.8 60
302.0581 2472.3 60
303.2172 2449.3 60
304.3707 2399.0 60
305.5737 2386.8 60
306.7163 2335.8 60
307.8699 2316.0 60
309.0454 2291.0 60
310.2155 2268.5 60
311.3745 2243.0 60
312.5446 2227.3 60
313.7640 2192.0 60
314.9011 2175.0 60
316.0437 2164.0 60
317.2467 2129.8 60
318.4058 2127.3 60
319.5428 2115.0 60
320.7184 2105.0 60
321.9214 2075.8 60
323.0585 2073.3 60
324.2175 2066.8 60
325.4041 2051.8 60
326.5302 2041.5 60
327.6837 2030.0 60
328.8702 2026.8 60
330.0458 2024.0 60
331.2158 2020.0 60
332.3749 2008.0 60
333.5120 2002.3 60
334.6875 2002.3 60
335.8575 1996.5 60
336.9946 1998.5 60
338.2141 2000.5 60
339.3567 1996.0 60
340.4828 1997.8 60
341.6858 1994.3 60
342.7954 2016.8 60
343.9655 2003.0 60
345.1520 2007.8 60
346.2781 2021.5 60
347.4481 2024.8 60
348.6237 2031.8 60
349.7937 2036.3 60
